[[ 0.          0.61956816 -0.20395379  0.31188678]]
[[ 0.00325141  0.61970196 -0.20334717  0.31190369]]
[[ 0.00664488  0.61958731 -0.20214274  0.31186114]]
[[ 0.01003186  0.61924356 -0.20036001  0.31170976]]
[[ 0.01342245  0.61883864 -0.19806545  0.3115352 ]]
[[ 0.01342357  0.61861258 -0.19560031  0.31120591]]
[[ 0.01681978  0.61865737 -0.19308932  0.31062356]]
[[ 0.01830684  0.61878447 -0.19029456  0.30994261]]
[[ 0.02143699  0.61878308 -0.187159    0.30907065]]
[[ 0.02483001  0.61860374 -0.18384659  0.30798826]]
[[ 0.02821642  0.6184754  -0.1803775   0.30692332]]
[[ 0.0316115   0.61829538 -0.1766851   0.30579359]]
[[ 0.031612    0.61812164 -0.1728283   0.30464243]]
[[ 0.03500128  0.61805008 -0.16876719  0.30370876]]
[[ 0.03665356  0.61797684 -0.16462231  0.30278182]]
[[ 0.03992988  0.61783068 -0.16034371  0.30179932]]
[[ 0.04332148  0.61757935 -0.15602885  0.30087368]]
[[ 0.04670938  0.61741794 -0.15197195  0.3002597 ]]
[[ 0.05010309  0.61748311 -0.14782999  0.30003511]]
[[ 0.05010409  0.61759049 -0.14353361  0.29990325]]
[[ 0.05349269  0.61769176 -0.13945134  0.2998529 ]]
[[ 0.0549971   0.61687886 -0.13624035  0.29908397]]
[[ 0.0581131   0.61526714 -0.13355543  0.29754405]]
[[ 0.06150298  0.61370619 -0.13103881  0.29593365]]
[[ 0.06489264  0.61248315 -0.1288584   0.29482284]]
[[ 0.06828471  0.61216473 -0.12706767  0.29484945]]
[[ 0.06828591  0.6121165  -0.12554432  0.29546486]]
[[ 0.07168323  0.61184665 -0.12452572  0.29605871]]
[[ 0.07330615  0.61097943 -0.12380848  0.29629439]]
[[ 0.07660875  0.60963877 -0.12294888  0.29591329]]
[[ 0.08000082  0.60875615 -0.12192861  0.29516473]]
[[ 0.08338916  0.60787967 -0.12006812  0.29398337]]
[[ 0.08677823  0.60689292 -0.11787552  0.29266108]]
[[ 0.0867786   0.60644787 -0.11580417  0.29210249]]
[[ 0.09016755  0.60644589 -0.11401047  0.29227855]]
[[ 0.09166946  0.60625675 -0.11257292  0.29256132]]
[[ 0.09478989  0.60515534 -0.11145382  0.29249668]]
[[ 0.0981808   0.60400803 -0.11080658  0.2922044 ]]
[[ 0.10156971  0.60328651 -0.10973669  0.29172813]]
[[ 0.10496537  0.6026818  -0.10825651  0.29095539]]
[[ 0.10496649  0.60199038 -0.10654058  0.29003561]]
[[ 0.10835557  0.60148868 -0.10464701  0.28946294]]
[[ 0.11000654  0.60110623 -0.10267366  0.28927261]]
[[ 0.11328197  0.60036005 -0.1005177   0.28914993]]
[[ 0.11667887  0.59895101 -0.09852182  0.28872237]]
[[ 0.12006343  0.59771432 -0.09644242  0.28804931]]
[[ 0.12345591  0.59679647 -0.09423922  0.28723794]]
[[ 0.12345634  0.59585539 -0.09216524  0.28639975]]
[[ 0.12684384  0.59489777 -0.090267    0.28562936]]
[[ 0.1283045   0.59413176 -0.08853685  0.28516812]]
[[ 0.13146838  0.59348133 -0.086969    0.2850283 ]]
[[ 0.13486047  0.59274398 -0.08552554  0.28497218]]
[[ 0.13824668  0.59164266 -0.08418862  0.28475534]]
[[ 0.14163895  0.59064137 -0.08272867  0.28430643]]
[[ 0.14163994  0.589855   -0.08114192  0.28359447]]
[[ 0.14503128  0.58908352 -0.07948997  0.28283089]]
[[ 0.14665801  0.58830757 -0.07779224  0.28227998]]
[[ 0.1499591   0.58748343 -0.076059    0.282046  ]]
[[ 0.15335007  0.58663171 -0.07437558  0.28184972]]
[[ 0.15674225  0.58576383 -0.0726795   0.2815164 ]]
[[ 0.16013665  0.58475474 -0.07099682  0.2809341 ]]
[[ 0.16013704  0.58362253 -0.06928927  0.28024036]]
[[ 0.16352428  0.58264592 -0.06750469  0.27965446]]
[[ 0.1649592   0.58182436 -0.06558395  0.27912211]]
[[ 0.16814291  0.58098625 -0.06357976  0.27865229]]
[[ 0.17153468  0.57993051 -0.06177164  0.27833741]]
[[ 0.17492896  0.57865487 -0.0600367   0.27818177]]
[[ 0.17831407  0.57768661 -0.05819758  0.27801587]]
[[ 0.17831502  0.57695666 -0.05653165  0.27753637]]
[[ 0.18171245  0.5761808  -0.05518429  0.27683232]]
[[ 0.18319645  0.57514595 -0.05350536  0.27589793]]
[[ 0.18632808  0.57429057 -0.05187845  0.27520669]]
[[ 0.1897209   0.57359187 -0.05023811  0.27474814]]
[[ 0.19310946  0.57302328 -0.04855315  0.27449469]]
[[ 0.19650102  0.57236887 -0.04695417  0.27430414]]
[[ 0.19650153  0.57155224 -0.04559704  0.27411461]]
[[ 0.1998937   0.57068644 -0.04448667  0.27378712]]
[[ 0.20150111  0.57004621 -0.04360906  0.27329756]]
[[ 0.20482413  0.56935391 -0.04274206  0.2726598 ]]
[[ 0.20821424  0.56864488 -0.04185509  0.2720246 ]]
[[ 0.21160008  0.56797793 -0.04087285  0.27147613]]
